,Rid,RDate,Sentence,Sentiment,Rating,Loyalty
0,1,20/5/2013,"i have had this laptop a good few weeks now, tested it fully and know the positives and negatives.",40,0.8,0
1,1,20/5/2013,"i have been purchasing systems only from brandx for 6 years, hopefully my review will help you out.nice sleek, thin and comfortable designed laptop- the casing is very nice ridged texture that looks and feels brilliant.",60,0.8,0
2,1,20/5/2013,it does accumulate finger prints but nowhere near the level other systems do.,21,0.8,0
3,1,20/5/2013,it is also light weight.,50,0.8,0
4,1,20/5/2013,"screen is nice and wide, perfect for work, gaming and browsing the web.",67,0.8,0
5,1,20/5/2013,"it has a glossy glare which is really nice, easy to clean and good quality.",61,0.8,0
6,1,20/5/2013,bright and details are great.,73,0.8,0
7,1,20/5/2013,"the keyboard is perfect, easy to clean, stylish, nice quality feel and durable.",81,0.8,0
8,1,20/5/2013,"remember, black absorbs heat and makes it fade.",44,0.8,0
9,1,20/5/2013,"unfortunately i left mine in the sun and the keys have faded (that is my fault not the product) i am still looking to find a replacement, would be great if i could be directed.",9,0.8,0
10,1,20/5/2013,"trackpad feels great, very responsive and easy to use.",58,0.8,0
11,1,20/5/2013,left and right clickers (i made that word up) are very nice and feel like they are built with quality.,58,0.8,0
12,1,20/5/2013,"however, sometimes the mouse freezes for anywhere up to 40 seconds when opening numerous programs or running scans.",15,0.8,0
13,1,20/5/2013,this does get a little bit frustrating especially knowing it is an i3 processor.,33,0.8,0
14,1,20/5/2013,"the palm rest has a sharp-ish edge on it, but i am sure that will wear down with use.",51,0.8,0
15,1,20/5/2013,"i would say it lacks a bit of performance as it should load easy tasks in seconds, it does not always respond when i ask it to and some applications fail to load as quick as they should.",21,0.8,0
16,1,20/5/2013,"most of the time it works perfectly, it laggs very rarely.",50,0.8,0
17,1,20/5/2013,intel hd graphics is an integrated graphics card that is basic but still very good.,43,0.8,0
18,1,20/5/2013,"i play a standard browser based mmo that runs at 40-45 out of 50 frames per second, for me that is very good.",47,0.8,0
19,1,20/5/2013,"it also handles some games well such as skyrim, dirt and farcry at medium graphics.audio is great, very loud and clear.webcam is very nice, perfect for streaming, very high detailed with no 'jittering.",75,0.8,0
20,1,20/5/2013,"ports are good, the hdmi works perfectly and looks great with my tv.",61,0.8,0
21,1,20/5/2013,ac adapter is standard yet very durable and lightweight.,31,0.8,0
22,1,20/5/2013,"windows8 iseasy to use, quickly able to adapt from taking a first time leap from xp all the way to the newest os.",53,0.8,0
23,1,20/5/2013,"at first i was a bit pessimistic, but i am very happy with it is design, features and ease of use.",63,0.8,0
24,1,20/5/2013,service and delivery was great from brandx as usual.,56,0.8,0
25,1,20/5/2013,a very satisfied customer and i will not fail to recommend this product.,74,0.8,0
26,1,20/5/2013,"cons:disk tray is flimsy and not very well built when open, it still performs well.",24,0.8,0
27,1,20/5/2013,"the casing on the front of the screen (trim where the webcam is) feels 'plasticy, weak and cheap, the back is ridged and a nice design though.",37,0.8,0
28,1,20/5/2013,"overall rating from me, 8/10.",53,0.8,0
29,1,20/5/2013,"some mildly rough patches but still a great system, the price is very decent for what you are getting.",43,0.8,0
30,2,25/3/2013,"i like this laptop because it is cheap, light weight, and seems to have a good performance, except one problem that i am considering to return.",36,0.8,0
31,2,25/3/2013,"the first time i turned it, there was a loud sound of the fan or the hard drive ( i am not sure).",44,0.8,0
32,2,25/3/2013,"i hoped it would stop after few minutes, but it didn not.",18,0.8,0
33,2,25/3/2013,"now every time i turn this laptop on, this sound bothers me, especially when i use the laptop in a quiet place.",38,0.8,0
34,2,25/3/2013,can someone help me to fix this problem so i don not have to return it?,22,0.8,0
35,2,25/3/2013,thanks.,69,0.8,0
36,3,20/2/2014,like a desktop away from your desktop.,51,1.0,0
37,3,20/2/2014,"i use the modelx for all my computing needs, the non-touch is definitely worth the money, and that extra hundred for touch is preference.",66,1.0,0
38,3,20/2/2014,it has common durability.,45,1.0,0
39,3,20/2/2014,"get windows 8 pro for the extra security (bitlocker), extra speed, and accessibility.",44,1.0,0
40,3,20/2/2014,"it feels like a small desktop, and ironically has more storage than my windows 7 gateway.",36,1.0,0
41,3,20/2/2014,brandx is definitely the way to go for laptops.,53,1.0,0
42,3,20/2/2014,"pros:lots of space, wide screen, thin screen, fast start upcons:no right-click button, wide screen, thin screen, not a lot of memory for gaming.",45,1.0,0
43,4,17/2/2014,the on screen keyboard pops up when you don not ask it to-i didn not buy a tablet i don not need it.,29,0.6,0
44,4,17/2/2014,annoys you to upgrade to 8.1 and when you do you have to get new bluetooth drivers.once you upgrade to 8.1 it tells you to upgrade the bios this will ruin your hard drive and they have to replace the computer or send someone to replace the hard drive and they do not extend the warranty when all they do is send someone so do not upgrade the bios!,3,0.6,0
45,4,17/2/2014,doing so will break the computer.,45,0.6,0
46,4,17/2/2014,everything will run slow and give errors and do lots of weird stuff.,40,0.6,0
47,4,17/2/2014,"the scan they have you run will come back fine after getting stuck around 98% for a long time and they try to put you off by not calling when they said and giving a super long wait time when you call back, stay on the line!",48,0.6,0
48,4,17/2/2014,they will run a scan by downloading their own scan onto the computer and see that the hard drive is bad.,35,0.6,0
49,4,17/2/2014,i wish they had sent it with 8.1 to avoid this and would check their updates before releasing them.,37,0.6,0
50,4,17/2/2014,they need to replace the whole thing and extend the warranty if they are going to release updates that break the computer!-very disgruntled.,18,0.6,0
51,5,14/2/2014,we were looking for a laptop to add to our business.,60,0.8,0
52,5,14/2/2014,this one provided what we needed for a good price.,65,0.8,0
53,6,13/2/2014,my laptop started experiencing scree/display problems within the first week.,30,0.4,0
54,6,13/2/2014,it appears pixels have stopped working in a small portion of the screen.,33,0.4,0
55,6,13/2/2014,its small but becomes extremely annoying when watching a movie or trying to do work and there is a small blotch in the middle of someone is face.,24,0.4,0
56,6,13/2/2014,"pros:works well,fast cons: manufacturer defect.",49,0.4,0
57,7,13/2/2014,you get what you pay for and this is not an expensive machine.,36,0.2,0
58,7,13/2/2014,i bought 2 but only opened one.,41,0.2,0
59,7,13/2/2014,windows 8.1 can only be downoaded by removing an installed update.,41,0.2,0
60,7,13/2/2014,"it takes ages to open some tiles, sometimes up to 30 sec.",50,0.2,0
61,7,13/2/2014,the recommended memory for this product according to brandx is larger than the 4gb they supply so why do they do that?,45,0.2,0
62,7,13/2/2014,keyboard has cheap feel and being black on black its very difficult to see.,31,0.2,0
63,7,13/2/2014,wanted to upgrade the one i had used for a few days and return the one i had not even opened but due to only 7 day return period brandx refuse to have either of them back.,9,0.2,0
64,7,13/2/2014,i have 2 expensive bookends.,36,0.2,0
65,7,13/2/2014,"buyer beware(hide) pros:touch screen cons:too slow, memory to small for os, keyboard almost invisible, graphis poor when streaming, finger mark.",4,0.2,0
66,8,13/2/2014,bought the modelx to replace ~10 year old brandx desktop - had not realized the prices for laptops had reached such levels.,29,0.8,1
67,8,13/2/2014,"only a month in, but quite pleased from an overall perspective.",74,0.8,0
68,8,13/2/2014,"windows 8 has offered its challenges, but as we learn the  notricks', it is getting much more friendly.",48,0.8,0
69,8,13/2/2014,"the sturdiness of the unit is great, and as others have mentioned the keyboard is fantastic (so nice to get away from the soft keyboards of other products).",84,0.8,0
70,8,13/2/2014,"maybe not as fast or feature rich as higher priced laptops/desktops, but suits our purpose as a basic machine.",62,0.8,0
71,8,13/2/2014,excellent price/performance ratio,60,0.8,0
72,9,2/12/2014,"my frist modelx window vista i had it for 10 yrs with out know problems , so my son got us this insp.. 15 when i told him it was the best pc i ever had , he got him one an in 2 yrs he got us this one an sent us his love as he love the brandx perfromice , an that how we got are new pc .. from the hard working brandx pc lap tops .../ thank you brandx for the fine pcs you offer us",78,0.8,1
73,10,2/10/2014,this laptop is much lighter than my last one.,41,0.8,0
74,10,2/10/2014,i have had no problems so far but have always found that customer service with brandx was so easy to access.,21,0.8,0
75,10,2/10/2014,this has everything that i need and at a decent price.,36,0.8,0
76,11,2/7/2014,"i think that this computer is fun to use and easy to use pros:so easy to learn to use, light weight",56,0.8,0
77,12,2/7/2014,got this for our family.,53,0.8,0
78,12,2/7/2014,"it is a very good entry level non-touch laptop for people who only use it for email, homework, and web browsing.",56,0.8,0
79,12,2/7/2014,it is design is clean and easy for people who prefer traditional tower pcs.,79,0.8,0
80,12,2/7/2014,picture is sharp.,50,0.8,0
81,12,2/7/2014,still getting used to windows 8 ui.,41,0.8,0
82,12,2/7/2014,don not think tiles will go far.,51,0.8,0
83,12,2/7/2014,"pros:ease of use cons:no cd/dvd-r, memory stuck at 4gb max.",30,0.8,0
84,13,2/6/2014,"unfortunately, i did not start using my computer in time to realize that i did not like it, or i definitely would have returned it.",14,0.6,0
85,13,2/6/2014,"the operating system is great, and basically everything about the computer is good, except for the loud touch pad.",54,0.6,0
86,13,2/6/2014,"this may make a great computer for a high school student, or a college student, but not for someone who does not want a loud clicking sound from the touch pad disrupting meetings.",35,0.6,0
87,13,2/6/2014,"other than that, it is not a bad buy.",33,0.6,0
88,13,2/6/2014,"it is my third brandx purchase, and probably my last.",43,0.6,1
89,13,2/6/2014,"(hide)pros:inexpensive, good operating system cons:loud touchpad that is a design flaw.",44,0.6,0
90,14,2/6/2014,this is perfect laptop for everyday use.,55,0.8,0
91,14,2/6/2014,"i got this for my mom, she knows enough to get the job done.",44,0.8,0
92,14,2/6/2014,windows 8 has a little learning curve but it is nice.,55,0.8,0
93,14,2/6/2014,"right out of the box upgraded to windows 8.1, much better.",45,0.8,0
94,14,2/6/2014,touch pad is nice but uses a wireless mouse instead,49,0.8,0
95,15,2/6/2014,have modelx 3521.buy in sep 2013 but in short time screen in problem generate pixels line display on the screen.and process is very slowly work.i5 prcessor but that speed is very slow speed is comparable with core2duo processor.,43,0.2,0
96,16,2/6/2014,computer is great for schooling and gaming at an affordable price.,57,0.8,0
97,17,2/6/2014,cannot beat the deal on this lap top.,50,0.8,0
98,17,2/6/2014,glad i made the purchase.,64,0.8,0
99,18,2/3/2014,this laptop makes the high-pitched noises from beneath the keyboard.,37,0.8,0
100,18,2/3/2014,"pros:stylish - thin shiny and light, good keyboard, ips screen - wide view angle, build quality - sturdy cons:glossy screen - glare and reflaction, lack of ports - no hdmi sd slot ethernet port, expensive, no os disc driver disc, cheap speaker sound, battery life - 4~5 hours",6,0.8,0
101,19,2/12/2013,"with a full hd screen and haswell, this ultrabook combines great visuals with better performance and battery life.",48,0.9,0
102,19,2/12/2013,the keyboard is great with plenty of travel.,69,0.9,0
103,19,2/12/2013,the white keyboard backlight is bright and of high quality.,57,0.9,0
104,19,2/12/2013,the build quality and design are unrivaled.,67,0.9,0
105,19,2/12/2013,up to 8 hours of web browsing can be expected on around 50% brightness.,44,0.9,0
106,19,2/12/2013,"there is no sd card reader, however, although an usb to sd card adapter would be fine.",23,0.9,0
107,19,2/12/2013,"the same could be said for the lack of hdmi, where a mini display port to hdmi adapter would be good enough.",22,0.9,0
108,19,2/12/2013,"this really is the xps 13 perfected, although the price could set it back slightly.pros:great design and build quality,great screen, haswell - better battery life, great keyboard.",60,0.9,0
109,19,2/12/2013,"cons:no sd card reader, price slightly high.",32,0.9,0
110,20,2/9/2013,"had the laptop for less than 1 hour and sending it back, horrible screen bleeding on the bottom and sides the worst i have ever seen!!",3,0.8,0
111,20,2/9/2013,the track pad was so loose i thought it was going to fall off.,41,0.8,0
112,20,2/9/2013,do they not check them for quality or is this just a one off?,57,0.8,0
113,20,2/9/2013,will never buy another brandx again.,43,0.8,0
114,20,2/9/2013,"cons:screen bleeding, loose track pad.",24,0.8,0
115,21,2/6/2013,"i would recommend this product.excellent performance and great design, extremely fast boot up, battery life is decent, touch screen is excellent, slim and sleek.though 128 gb ssd was mentioned by brandx, i actually received 61gb(showing 61 gb free of 103 gb).overall, this is a great product.",76,0.8,0
116,22,2/3/2013,i have had several brandx desktops and a couple laptops over the years.,46,0.8,1
117,22,2/3/2013,all have been very good.,54,0.8,0
118,22,2/3/2013,"my last brandx was the xps 14 ultrabook and it was very good except i had some overheating problems, yet i had bought it as a ""refurbished"" from the brandx outlet, knowing chances you take with such purchases.",42,0.8,1
119,22,2/3/2013,"like i said, other then that the xps14 computer was very good, but i decided to sell it and try one more time with a brandx product, even though i had it repaired by brandx......",47,0.8,0
120,22,2/3/2013,the good news????,56,0.8,0
121,22,2/3/2013,i purchased the brandx xps 13 with the new 4th generation chip and had to have the backlit keyboard as from using that feature on the xps14.,71,0.8,0
122,22,2/3/2013,i also choose windows 7 because i do not like windows 8.,34,0.8,0
123,22,2/3/2013,it took nearly three weeks to get my order but it was worth the wait and suspense.,52,0.8,0
124,22,2/3/2013,this new xps 13 computer rocks!!!!!,63,0.8,0
125,22,2/3/2013,words can describe it.,60,0.8,0
126,22,2/3/2013,it really is the perfect computer i have dreamed about for years.,45,0.8,0
127,22,2/3/2013,better then apple mac air in my opinion.,56,0.8,0
128,22,2/3/2013,"computer is lightweight, incredibly mobile, fast, stylish, i could on and on.....you will not be disappointed.",16,0.8,0
129,22,2/3/2013,even the old windows 7 seemed new and improved the way it ran on this system.,44,0.8,0
130,22,2/3/2013,i am a very happy customer and i think brandx has hit a new bulls eye with this one.,55,0.8,1
131,22,2/3/2013,all they need to do is get the word out.,45,0.8,0
132,22,2/3/2013,"since owning this, i have almost forgotten to use my ipad4.",36,0.8,0
133,22,2/3/2013,"i now use the ipad mainly only for photos, since i call it my ""flat camera"" pros:very fast, lightwight, fast bootup time, backlit keyboard, very mobile, easy to grip and stylish, runs cooler than other laptops i have had.",47,0.8,0
134,23,2/12/2012,i am very pleased with this purchase.,62,0.8,0
135,23,2/12/2012,"i have owned 4 brandx laptops, 2 fantastic, 2 sucky.",34,0.8,1
136,23,2/12/2012,this is my fifth and it is fantastic.,64,0.8,0
137,23,2/12/2012,"great build quality and performance, quiet, cool, long battery life, and plenty of horse power.",72,0.8,0
138,24,2/9/2012,this is the perfect ultra book out there.,60,0.8,0
139,24,2/9/2012,brandx has always made excellent computers.,64,0.8,0
140,24,2/9/2012,the brandx xps 13 is great.,62,0.8,0
141,24,2/9/2012,"it is fast, durable, and high-end.",54,0.8,0
142,24,2/9/2012,this pc boots up in just seconds and it is extremely quiet.,44,0.8,0
143,24,2/9/2012,perfect for students although it is pretty pricey however this pc excels in everything and it is well worth it.,55,0.8,0
144,24,2/9/2012,not even a mac comes close to the brandx xps 13.,40,0.8,0
145,24,2/9/2012,i highly recommend this pc to everyone.,61,0.8,0
146,24,2/9/2012,the brandx xps 13 is the perfect ultra book.,65,0.8,0
147,24,2/9/2012,"pros:slim, durable, quiet, build quality, light weight, fast.",64,0.8,0
148,25,2/5/2014,"i am a long time brandx user, and this modelx 3521 laptop is the tenth brandx i have brought home.",48,0.8,0
149,25,2/5/2014,my daughter is older laptop finally gave up the ghost--after six grueling years of college--so i replaced it with this honey.,45,0.8,0
150,25,2/5/2014,she couldn not be happier!,44,0.8,0
151,25,2/5/2014,"it does everything she would want it to do for schoolwork, and then some--surfing the web, writing papers, listening to music, streaming videos, using skype, and considerably faster than her older model.",64,0.8,0
152,25,2/5/2014,"keep up the good work, brandx.",53,0.8,0
153,25,2/5/2014,you haven not disappointed us yet!,20,0.8,0
154,25,2/5/2014,"(hide) pros:great price, lightweight, lots of features, windows 7.",54,0.8,0
155,26,2/4/2014,"i have been using the laptop daily, it is fast and extremely easy to use and get accustomed to.",43,0.8,0
156,27,2/4/2014,i have a desktop and pad but was looking for something that i could use when i travel and sitting at home and playing games while watching tv but i did not want to spend a lot of money.,32,0.8,0
157,27,2/4/2014,my new modelx fits the bill.,53,0.8,1
158,28,2/4/2014," i decided to get a laptop to use for home, hooked up to my old keyboard and mouse as i have trouble w the laptop keyboards.",39,0.8,0
159,28,2/4/2014,"while it is a bit unwieldy to use the start up function and the wires needed, once it is up and running, it is nice and fast.",54,0.8,0
160,28,2/4/2014,"also, the image is super clear - whether streaming on line or using the various software on the machine.",51,0.8,0
161,29,2/5/2014,this computer is just what my family has been needing.,34,0.8,0
162,29,2/5/2014,it does all the things we need it to do.,45,0.8,0
163,29,2/5/2014,"email, browsing the internet, etc.",53,0.8,0
164,29,2/5/2014,we have had it just over 2 weeks now and have not found a thing we do not like.,26,0.8,0
165,29,2/5/2014,brandx came through for us again!,48,0.8,0
166,30,2/5/2014,this is probably the 5th laptop i have bought from brandx in the last 3 years.,40,0.8,0
167,30,2/5/2014,this is the first windows 8 laptop that i bought that i like.,44,0.8,0
168,30,2/5/2014,the touch screen is awesome,60,0.8,0
169,31,31/1/2014,"i like the size, it is lightweight, pretty fast on start up and connecting to web pages.",41,0.8,0
170,31,31/1/2014,so far i have had no problems with anything.,25,0.8,0
171,31,31/1/2014,this is my first laptop so i need to get used to the keyboard.,32,0.8,0
172,31,31/1/2014,i feel this is a great product for the cost.,48,0.8,0
173,32,31/1/2014,solid computer except for the screen which cracked after 6 months of use when opening the computer.,30,0.6,0
174,32,31/1/2014,installed cost of replacement is more than 50% of the computers cost and cracked screen is not covered under warranty.,9,0.6,0
175,33,30/1/2014,this brandx computer does not have a scroll bar on the touch pad.without a mouse it makes moving around the screen so much slower.,14,0.8,0
176,33,30/1/2014,"also, something was wrong with the original set up-did not configure admin account and the disk drive wouldn not work.",16,0.8,0
177,33,30/1/2014,had to call cust.,39,0.8,0
178,33,30/1/2014,service to reconfigure the set up.,55,0.8,0
179,33,30/1/2014,"took a long time, but they did a great job and it works well now.",58,0.8,0
180,33,30/1/2014,pros:faster than my old vista.,51,0.8,0
181,33,30/1/2014,cons:doesn not have scroll capability on touch pad.,22,0.8,0
182,34,30/1/2014,"for a mid-range business laptop, or for most personal use, this is definitely a good quality laptop.",71,0.8,0
183,34,30/1/2014,"the case feels quite a lot more durable than the less expensive options, has great access to all ports, and runs very quietly.",43,0.8,0
184,34,30/1/2014,a laptop that can actually work both as a laptop or as a desktop replacement solution so well is rare.,40,0.8,0
185,34,30/1/2014,"the keyboard has also been extremely easy to get used to, compared to many other laptop keyboards out there.",39,0.8,0
186,34,30/1/2014,"i even find myself using the trackpad more frequently than i had on prior laptops due to annoyances with odd behavior.also, excellent sound for a laptop.",57,0.8,0
187,34,30/1/2014,"pros:great sound quality, good case design, good input cons:slow hard drive",68,0.8,0
188,35,29/1/2014,i’ve owned several desktops over the years and this was my very first laptop purchase.,45,0.8,0
189,35,29/1/2014,"i was looking for a simple basic machine that i could take with me to check e-mail, find restaurants/attractions on vacation or watch a movie or play a basic game on the airplane (it’s not a “gaming” machine).",64,0.8,0
190,35,29/1/2014,"however, this little laptop has excelled in all of these plus some more.",51,0.8,0
191,35,29/1/2014,i’ve installed ms office and some photo editing software and it performs just fine using these.,67,0.8,0
192,35,29/1/2014,the 500gb is plenty big enough for anything i’m doing.,56,0.8,0
193,35,29/1/2014,"it’s really thin and lightweight, around 5 pounds.",43,0.8,0
194,35,29/1/2014,the screen is large and has really good color and contrast as long as you’re right in front of it.,53,0.8,0
195,35,29/1/2014,the battery life is also pretty darn good.,40,0.8,0
196,35,29/1/2014,i get about 4 hours of operation out of it watching a couple of movies or general working.,46,0.8,0
197,35,29/1/2014,it also has 4 usb ports (two 2.0 and two 3.0) and an hdmi port which i thought was kinda cool.,26,0.8,0
198,35,29/1/2014,some others i looked at didn’t.,48,0.8,0
199,35,29/1/2014,the only con i have is that i wish it had come with windows 7 since it’s not a touch screen.,18,0.8,0
